,location,google_results
1081,"Nantes, France - DaMaP",722000
1082,"Maastricht, The Netherlands - PROLEARN",10900
1083,"Nantes, France - PAIS",149000000
1084,"Nantes, France - SSPS",33300
1085,"Montreal, Québec, Canada",432000000
1086,"Marseille, France - Volume 2",70700000
1087,"Marseille, France - Volume 1",80400000
1088,"Cagliari, Italy (Supplement of Bioinformatics)",144000
1089,"Cagliari, Italy - AIMM",15700
1090,"Marseille, France - Volume 3",75400000
1091,"Patras, Greece - RuleApps",2570
1092,"Patras, Greece - PAN",1840000
1093,"Aracaju, Brazil",12900000
1094,"Utrecht, The Netherlands / 2008",63900000
1095,"Estoril, Portugal / Chicago, IL, USA",753000
1096,"Marseille, France - Volume 4",66200000
1097,"Wollongong, NSW, Victoria, Australia",16200000
1098,"Stanford, Palo Alto, USA",14900000
1099,"Bridgeport, CT, USA - EIAT/IETA",218000
1100,"Bridgeport, CT, USA - SCSS, Volume 2",249000
1101,"Hanoi, Vietnam",77200000
1102, Trier,210000000
1103,Trier,210000000
1104,"Greenbelt, MD, USA",5970000
1105,"Pittsburgh, USA",288000000
1106," Düsseldorf, Germany",199000000
1107,"Fremantle, Australia",2040000000
1108,"Pittsburgh, Pennsylvania, USA - Extended Abstracts",7710000
1109," Taiwan, ROC",59700000
1110," New York, NY, USA - Volume 1",384000000
1111," New York, NY, USA - Volume 3",387000000
1112,"Charlotte, North Carolina, USA",293000000
1113,"Device-Independent Color, Color Hard Copy, and Graphic Arts 1999",19900000
1114," Oxford, England, UK",736000000
1115,"Cancun, Mexico",103000000
1116," Edinburgh, United Kingdom",215000000
1117,"Brisbane, QL, Australia",249000000
1118,"York, England, UK",1400000000
1119,"Cáceres, Spain",43700000
1120," New York, NY, USA - Volume 2",421000000
1121,"Durham, UK",206000000
1122," Kühlungsborn, Germany",1240000
1123,"Rochester, NY, USA",189000000
1124," Asheville, USA",44000000
1125,"Fort Collins, Colorado, USA",128000000
1126," Auckland, New Zealand",835000000
1127," Maribor, Slovenia (Short Papers)",542000
1128," Boulder, CO, USA",126000000
1129,"Santander, Spain",57100000
1130,"Arto Salomaa, 1999",252000
1131,"Jaipur, India",189000000
1132," Edinburgh, Scotland, UK",157000000
1133,Bologna,259000000
1134,"Nanjing, China",46300000
1135," Toulouse, France, Volume 1",84900000
1136,"Toulouse, France, Volume 2",77400000
1137,"Bratislava, Slavak Republic",19600000
1138,"Princeton University, USA",151000000
1139,"Kansas City, USA",420000000
1140," Honolulu, Hawaii, USA - Volume 1",64700000
1141," Honolulu, Hawaii, USA - Volume 2",68900000
1142,"Buenos Aires, Argentina",575000000
1143,"Limerick, Ireland",47400000
1144," Ascona, Switzerland",2280000
1145,"Goa, India",245000000
1146,"Clearwater, Florida, USA",82200000
1147,"Amsterdam, The Netherlands (Part of ETAPS 1999)",484000
1148," Oslo, Norway",214000000
1149,"Bamberg, Germany",39200000
1150,"Jena, Germany",64700000
1151," Redondo Beach, California, USA",54100000
1152," Ann Arbor, Michigan, USA",206000000
1153,"Phuket, Thailand",64600000
1154,"Los Angeles, CA, USA - Abstracts and Applications",49200000
1155,"Aizu, Japan",4550000
1156,"Florianópolis, Santa Catarina, Brazil",26800000
1157," Maui, Hawaii, USA",29800000
1158,"Saratoga Springs, NY, USA",6900000
1159," Cancun, Mexico",103000000
1160,"Talca, Chile",16400000
1161," San Juan, Puerto Rico",197000000
1162,"Trento, Italy / Toulouse, France",4390000
1163,"Calcutta, India",51700000
1164,Heidelberg,133000000
1165,"Milan, Italy - State of the Art Reports",122000000
1166,Würzburg,54600000
1167,"Würzburg, Germany",67200000
1168,"Milan, Italy - Tutorials",47500000
1169,"Erfurt, Germany",53600000
1170,"Milan, Italy - Short Presentations",89700000
1171," Phoenix, Arizona, USA - Volume 1",146000000
1172," Phoenix, Arizona, USA - Volume 2",118000000
1173,"West Lafayette, Indiana, USA",47900000
1174,"Cape Town, South Africa",368000000
1175,"Seeon Monastery, Germany",42300
1176,"Taipei, Taiwan - Workshops",14700000
1177,"Atibaia, SP, Brazil",5380000
1178," A Coruña, Spain",74200000
1179,"Iwate, Japan - Workshops",170000
1180," Fort Lauderdale, Florida, USA",145000000
1181,"Breckenridge, Colorado, USA",16700000
1182,"Breckenridge, CO, USA",18800000
1183,"Barcelona, Catalonia, Spain - Workshop on Trust in Cyber-societies",814000
1184," Limerick, Ireland",47400000
1185," Villa Olmo, Como, Italy - Volume 1",9810000
1186,"Rohnert Park, CA, USA",2490000
1187,"Macau, China",168000000
1188,"Budapest, Hungary - Workshop on Feature Interaction in Composed Systems (FICS)",74700
1189,"Christchurch, New Zealand",52700000
1190,"Évora, Portgual",23400000
1191,"Guilin, China",10700000
1192,"Vail, Colorado, USA",14200000
1193," Bond University, Queensland, Australia",10300000
1194,"Maui, HI, USA",27200000
1195,"Boulder, CO, USA",126000000
1196,"Lincoln, UK",729000000
1197,"Canterbury, UK",140000000
1198,"Vietri sul Mare, Italy",3390000
1199,"Bloomington, MN, USA",41200000
1200,"Long Beach, CA, USA",1890000000
1201," Sorrento, Napoli, Italy",9280000
1202," Trier, Germany",60100000
1203," Interlaken, Switzerland",17500000
1204,"Device-Independent Color, Color Hard Copy, and Graphic Arts 2001",25700000
1205,"Xian, China",126000000
1206,"Pretoria, South Africa",68400000
1207,"Twente, The Netherlands",14100000
1208,"Belfast, Northern Ireland, UK",71300000
1209,"Ottawa, Ontario, Canada - Workshops",11100000
1210," Cape Town, South Africa",368000000
1211," Anaheim, CA, USA",71900000
1212,"Taormina, Italy",13000000
1213,"Barcelona, Catalunya, Spain",55600000
1214,"Boise, Idaho, USA",75100000
1215," Pittsburgh, USA",288000000
1216,"Richardson, Texas, USA",83500000
1217,"Roma, Italy",516000000
1218,"Pittsburgh, PA USA",206000000
1219,"Bloomington, Indiana, USA",59900000
1220," Roma, Italy",516000000
1221,"Huntington Beach, California, USA",72800000
1222,Bari,189000000
1223,"Cincinnati, OH, USA",285000000
1224,"West Lafayette, IN, USA",70100000
1225,"Bangkok, Thailand",423000000
1226,"Copenhagen, Denmark (Supplement of Bioinformatics)",384000
1227,"New Orleans, USA",381000000
1228,"Kauai, HI, USA - Volume 1",1170000
1229," Stanford University, CA, USA",118000000
1230,"Almagro, Spain",3600000
1231,"Warwick, UK",103000000
1232,"Athens, Hellas",22200000
1233," Stresa, Italy",2550000
1234,"Avignon, France",74000000
1235,"Balatonfüred, Hungary",1650000
1236,"Kauai, HI, USA - Volume 2",476000
1237,"New Haven, Connecticut, USA",472000000
1238,"Valenciennes, Frances",1330000
1239,"Riga, Latvia",64700000
1240,"Sydney, Australia - Volume 3",135000000
1241,"Sydney, Australia - Volume 2",129000000
1242," Paphos, Cyprus",27700000
1243,"Sydney, Australia - Volume 1",159000000
1244,"Kyoto, Japan - Volume 1",52000000
1245,"Chisinau, Moldavia",812000
1246,"Rohnert Park, California, USA",3180000
1247,Düsseldorf,201000000
1248,"Dundee, UK",67000000
1249,"Zakopane, Poland",18500000
1250,"Martigny, Suisse",7540000
1251,"Vilnius, Lithuania",56600000
1252,"Kyoto, Japan - Volume 2",50700000
1253," Anchorage, Alaska, USA - Volume 2",14400000
1254," Anchorage, Alaska, USA - Volume 3",16300000
1255,"Belo Horizonte, Brazil",78700000
1256,"Riverside, California, USA",168000000
1257,"Tahoe City, CA, USA",16900000
1258," Anchorage, Alaska, USA - Volume 1",17200000
1259," Granada, Spain - Volume 2",15200000
1260,"Granada, Spain - Volume 1",14600000
1261,"Sydney, Australia - Volume 5",113000000
1262,"Sydney, Australia - Volume 4",140000000
1263," Heraklion, Crete, Greece",15900000
1264,"Colmar, France - Volume 1",6500000
1265,"Marina Del Rey, CA, USA",49800000
1266,"Krakow, Poland",144000000
1267,"Colmar, France - Volume 2",7930000
1268," Venice, Italy",256000000
1269,"Calgary, Canada",142000000
1270,"Vancouver, Canada - Volume 2",61700000
1271," Villa Olmo, Como, Italy - Volume 2",9110000
1272,"Schaumburg, Illinois, USA",14400000
1273," Santa Fe, New Mexico, USA",113000000
1274,"Barcelona, Catalonia, Spain - Workshop on Infrastructure for Multi-Agent Systems",604000
1275,"New York, New York, USA",3240000000
1276,"Berlin, Germany (Part of ETAPS 2000)",762000
1277,"St Andrews, Scotland, UK",69200000
1278,"Shelter Island, San Diego, California, USA",13500000
1279," Taipei, Taiwan",199000000
1280," Saariselkä, Finland",1770000
1281,"Cairo, Egypt",157000000
1282,"Göttingen, Germany",44700000
1283," York, England, UK",1400000000
1284,"Marina del Rey, Los Angeles, CA, USA",36300000
1285,"Los Angeles, CA, USA - Workshops",445000000
1286," Minneapolis, MN, USA",192000000
1287,"Interlaken, Switzerland - Short Presentations",310000
1288," Santa Clara, California, USA",186000000
1289,"Salt Lake City, Utah, USA - Workshops",71300000
1290,"Fortaleza, Ceará, Brazil",27500000
1291," College Park, MD, USA",358000000
1292," McLean, VA, USA",15600000
1293," Palermo, Italy",109000000
1294,"Patras, Greece",33600000
1295,"Device-Independent Color, Color Hard Copy, and Graphic Arts 2000",64200000
1296,"Gdansk, Poland",43100000
1297,"Sunderland, UK",80600000
1298,"Acapulco, Mexico",65200000
1299,"Santiago, Chile",616000000
1300,"Balatonfüred, Lake Balaton, Hungary",272000
1301,"The Hague, The Netherlands - Extended Abstracts",3830000
1302," Schaumburg, IL, USA",28700000
1303," Pittsburgh, Pennsylvania, USA",296000000
1304," Clear Water Bay, Hong Kong, China",41700000
1305,"Dublin, Ireland - Volume 1",57900000
1306,"Bratislava, Slovakia",95200000
1307,"Dublin, Ireland - Volume 2",48600000
1308," Richmond, Virginia, USA",253000000
1309,"Sophia Antipolis, France (ECOOP Workshop)",68000
1310,"Tampere, Finland",62700000
1311,"Florianópolis, Brazil",37900000
1312," New York City, NY, USA",2030000000
1313,"Minneapolis, Minnesota, USA - Addendum",2300000
1314,"Banff, Canada",32800000
1315," Tel Aviv, Israel - Volume 3",49500000
1316," Tel Aviv, Israel - Volume 2",52700000
1317," Tel Aviv, Israel - Volume 1",61100000
1318,"Geneva, Switzerland / AVATARS 2000",927000
1319,"Waikiki, Hawaii, USA",5900000
1320," Hong Kong, China",1370000000
1321,Taiwan,990000000
1322,"New Brunswick, New Jersey, USA",64100000
1323,"Shatin, Hong Kong, China",7680000
1324,"Newport Beach, CA, USA",47000000
1325,"Geelong, Australia",36000000
1326,"Plymouth, Massachusetts, USA",26100000
1327,"Charlotte, NC, USA",207000000
1328,"Swansea, UK",67000000
1329,"Makuhari, Japan",2290000
1330,"Fredericton, New Brunswick, Canada",10800000
1331,"Interlaken, Switzerland - Invited Papers",340000
1332,"Rio de Janeiro, Brasil",432000000
1333," Milpitas, CA, USA",12400000
1334,"Interlaken, Switzerland - Tutorials",678000
1335,"Exeter, U.K.",63900000
1336,"Dallas, Texas, USA (Selected Papers)",10100000
1337,"Anchorage, Alaska, USA",67000000
1338,"Cheju Island, South Korea",465000
1339,"Interlaken, Switzerland - State of the Art Reports",592000
1340,"Interlaken, Switzerland",17500000
1341," Canberra, Australia",119000000
1342,"St. Andrews, UK",163000000
1343,"Genova, Italy (Part of ETAPS 2001)",681000
1344," Montréal, Québec, Canada",447000000
1345,"New Orleans, Louisiana, USA - Workshop",17300000
1346,"Seattle, USA",432000000
1347,"Milan, Italy - Volume 1",160000000
1348,"Milan, Italy - Volume 2",168000000
1349,"Almagro, Ciudad Real, Spain",680000
1350,"Yokohama, Japan - Workshops",7960000
1351,"Gommern, Sachsen-Anhalt, Germany",6000000
1352,"London, England",1450000000
1353,"Cheju Island, Korea",415000
1354,"Stanford University, California, USA",186000000
1355," Medford, MA, USA",42700000
1356,"Heraklion, Crete, Greece - Volume 2",1930000
1357,"Heraklion, Crete, Greece - Volume 3",2060000
1358,"Nanning, Guangxi Zhuang Autonomous Region, China",251000
1359,"Melbourne,Australia",406000000
1360,"Washington, DC, USA - CSET",191000
1361,"Washington, DC, USA - CollSec",79800
1362,"Heraklion, Crete, Greece - Volume 4",1870000
1363,"Ayia Napa, Cyprus - WEWST",3540000
1364,"Reno/Tahoe, Nevada, USA - Companion",27000000
1365,"Reno/Tahoe, Nevada, USA - Proceedings",661000
1366,"Los Angeles, California, USA - Awards",415000000
1367,"Los Angeles, California, USA - Dailies",205000
1368,"Los Angeles, California, USA - Talks",60400000
1369,"Valletta, Malta",26600000
1370,"Oxford, England, UK",668000000
1371,"Heraklion, Crete, Greece - Volume 5",1890000
1372,"Girona, Catalonia, Spain",21700000
1373,"Vancouver, BC, Canada - SLAML",18900000
1374,"Paris, France - Short and Project Papers",168000000
1375,"Bangalore, India - Industry Track",61000000
1376,"Takayama, Gifu, Japan",1240000
1377,"Aracaju, SE, Brazil",8390000
1378,"Gandhinagar, India",42200000
1379,"Washington, DC, USA - HealthSec",192000
1380,"Washington, DC, USA - EVT/WOTE",5120
1381,"Belo Horizonte, MG, Brazil",51800000
1382,"Indianapolis, Indiana, USA - KEYS Workshop",3090000
1383,"Calgary, AB, Canada",83300000
1384,"Hannover, Germany - Workshops",18800000
1385,"Bangkok,Thailand",387000000
1386,"Reno/Tahoe, Nevada, USA - PSI EtA",92200
1387,"Washington, DC, USA - HotSec",404000
1388,"Larnaca, Cyprus",18500000
1389,"Edinburgh, Scotland, United Kingdom",84200000
1390,"Duisburg, Germany",68500000
1391,"Gramado, Brazil - Tutorials",344000
1392,"New Delhi, India - Green Networking Workshop",85100000
1393,"Waltham, Massachusetts, USA",29900000
1394,"Brisbane, Queensland, Australia - EAI2N",2300
1395,"New Delhi, India - ApSys Workshop",18000
1396,"Brisbane, Queensland, Australia - ECS",102000
1397,"Brisbane, Queensland, Australia - E-HEALTH",58100000
1398,"Alcalá de Henares, Spain",15200000
1399,"Waltham, MA, USA",44600000
1400,"Barcelona, Spain - Doctoral Consortium",9020000
1401,"Abu Dhabi, UAE",121000000
1402,"Reykjavík, Iceland",54200000
1403,"Madrid, Spain - Selected Papers",37800000
1404,"São Carlos, SP, Brazil",55400000
1405,"Athens, Greece - DPM/SETOP",11400000
1406,"Portland, Oregon, USA - Companion Material",8400000
1407,"Changchun, Jilin Province, China",1180000
1408,"Tenerife, Canary Islands, Spain - Workshops",11700000
1409,"Big Island, HI, USA",146000000
1410,"Liverpool, United Kingdom",241000000
1411,"Brisbane, QLD, Australia",134000000
1412,"Vancouver, BC, Canada - Workshops",32200000
1413,"Toronto, Canada / Lyon, France",53100000
1414,"Budapest, Hungary / 2010",70800000
1415,"Chattanooga, Tennessee, USA",58100000
1416," Toronto, ON, Canada",655000000
1417,"Bordeaux, France - Part I",181000000
1418,"Circuits, Logic, and Games 2010",17200000
1419,"Hoboken, NJ, USA",29100000
1420,"Nagpur, India",92400000
1421,"Paphos, Cyprus (Satellite Event of ETAPS 2010)",153000
1422,"Leipzig, Germany - ISSS/BPSC",43900
1423,"Koloa, Kauai, Hawaii, USA",155000
1424,"Lausanne, Switerland",74000000
1425,"Copenhagen, Denmark / Ljubljana, Slovenia",8530000
1426,"Aberystwyth, UK",8940000
1427,"Mountain View, CA, USA",1160000000
1428,"Representation, Analysis and Visualization of Moving Objects 2010",29500000
1429,"Braga, Minho, Portugal",12200000
1430,"Gandhinagar, India / 2011",4580000
1431," Tsukuba, Ibaraki, Japan",7060000
1432,"Edinburgh, UK - PAAR",9970000
1433,"Edinburgh, UK - UniDL",1870
1434,"Raleigh, North Carolina, USA - MSW Workshop",433000
1435,"Hammamet, Tunisia - ONTOSE",9020
1436,"Hammamet, Tunisia - EOMAS",584000
1437,"Raleigh, North Carolina, USA - LDOW Workshop",7870000
1438,"Hammamet, Tunisia - BPMDS / EMMSAD",14200
1439,"Lisbon, Portugal - Posters & Demos",21800000
1440,"Osnabrück, Germany- KESE",74600
1441,"Bern, Schweiz",153000000
1442,"Novosibirsk, Russia / KPP 2007",102000
1443,"Rocquencourt, Francel",1280000
1444,"Osnabrück, Germany - BMI",656000
1445,"Whistler, British Columbia, Canada - WoMO",46900
1446,"Osnabrück, Germany- FAInt",275000
1447,"Melbourne, Australia - Selected Papers",16100000
1448,"Weimar, Germany",35300000
1449,"Weimar, Germany - Short Papers & Posters",2870000
1450,"Probabilistic, Logical and Relational Learning - A Further Synthesis 2007",2010000
1451,"Merida, Mexico",70300000
1452,"Dundee, Scotland, UK",55100000
1453,"Lagos, Portugal",79000000
1454,Santiago de Chile,639000000
1455,"Aguascalientes, Mexico",36200000
1456," Beijing, China - Volume 2",127000000
1457," Beijing, China - Volume 1",140000000
1458,"Herrsching, Germany",572000
1459,"Newport Beach, CA, USA - Demos and Posters",1010000
1460,"Firenze, Italy",121000000
1461,"Porto, Portugal - ALPSWS",683
1462,"Newport Beach, CA, USA - Doctoral Symposium",4720000
1463,"Auckland, New Zealand - Tutorials, Posters, Panels & Industrial Contributions",618000
1464,"Newport Beach, CA, USA - MNCNA",9
1465,"Auckland, New Zealand - Workshops",5310000
1466,"Augsburg, Bavaria, Germany",20800000
1467,"Haikou, Hainan, China - Volume 5",230000
1468,"Haikou, Hainan, China - Volume 4",343000
1469,"Haikou, Hainan, China - Volume 3",321000
1470,"Haikou, Hainan, China - Volume 2",353000
1471,"Haikou, Hainan, China - Volume 1",388000
1472,"San José, Costa Rica",155000000
1473,"Prague, Czech Republi",216000000
1474,"Petrópolis, Brazil",15700000
1475,"Morelia, Michoacan, Mexico",17700000
1476,"Roskilde, Denmark - ReTIeL",1360000
1477,"Roskilde, Denmark - C&O",172000
1478,"Roskilde, Denmark - CIR",222000
1479,"Rio de Janeiro, Brazil - DEGAS",559000
1480,"Hanover, New Hampshire, USA",11900000
1481,"Wuyishan, China",1640000
1482,"Bellevue, WA, USA",82600000
1483,"Crete, Greece - COOPER",11800000
1484,"Crete, Greece - Digital Literacy",9240000
1485,"Cancun, Mexico - Theoretical Advances",17500000
1486,"Warsaw, Poland - MCD",499000
1487,"Chania, Greece",14100000
1488,"Cap Esterel, French Riviera, France",142000
1489,"Columbia, MD, USA",307000000
1490,"Gwangju, Korea",12900000
1491,"Crete, Greece - LODE",2160000
1492,"Crete, Greece - Posters",10300000
1493,"Crete, Greece - PROLEARN",50800
1494,"Durham, NH, USA",36300000
1495,"Crete, Greece - WWWrong",9900000
1496,"Rio de Janeiro, Brazil - Volume 1",102000000
1497,"Vienna, Austria (Supplement of Bioinformatics)",720000
1498,"Hradec nad Moravicí, Czech Republic",94000
1499,"Hradec nad Moravicí, Czech Republic - Workshop on Formal Models",3530
1500,"Processing, Hardcopy, and Applications 2007",8060000
1501,"Jacksonville, Florida, USA",131000000
1502,"Chania, Crete Island, Greece",6470000
1503,"Harbin, Heilongjiang, China",3180000
1504,"Montreal, Quebec, Canada - Proceedings",15100000
1505,"Nashville, USA",220000000
1506,"Istanbul, Turkey - Workshops",36400000
1507,"Nanjing, China - Workshops",3570000
1508,"Toronto, Ontario, Canada - Workshops",40900000
1509,"Montreal, Quebec, Canada - Companion",17600000
1510,"San Juan, Puerto Rico - HealthNet",314000
1511,"Augsburg, Bavaria, Germany - TVS",43900000
1512,"Barcelona, Spain - EROW",35600
1513,"Augsburg, Bavaria, Germany - MS",28200000
1514,"Vilamoura, Portugal - Volume 2",204000
1515,"Bridgeport, CT, USA - SCSS, Volume 1",242000
1516,"Vilamoura, Portugal - Volume 1",423000
1517,"Cambridge, Massachusetts, USA - NetDB",83100
1518,"Cambridge, Massachusetts, USA - HotBots",9
1519,"Toronto, Canada - Ambient Information Systems",3550000
1520,"San Diego, California, USA - Workshop on I/O Virtualization",943000
1521,"San Diego, California, USA - WASL",20500000
1522,"Rhodes Island, Greece - Selected Papers",1200000
1523,"Kunming, China - Workshops",928000
1524,"Kaohsiung, Taiwan - Volume 2",3050000
1525,"Reno, Nevada, USA - China HPC",886000
1526,"Reno, Nevada, USA - HPRCTA",88500
1527,"Lake Tahoe, CA, USA",23000000
1528,"Prague, Czech Republic - Education Papers",20500000
1529,"Belfast, Northern Ireland, UK - CaCoA",4580000
1530,"Prague, Czech Republic - Tutorials",19200000
1531,"Raleigh, North-Carolina, USA",84200000
1532,"Oakland, CA, USA",119000000
1533,"Luxembourg, Luxembourg",407000000
1534,"Prague, Czech Republic - Cultural Heritage",5500000
1535,"Bremen, Germany - VERIFY",3890000
1536,"Prague, Czech Republic - Short Papers",23600000
1537,"Haikou, Hainan, China",2290000
1538,"Salamanca, Spain",53400000
1539,"Bremen, Germany - ESARLT",41900000
1540,"Prague, Czech Republic - State of the Art Reports",28600000
1541,"Honolulu, HI, USA",41600000
1542,"Daegu, Korea",25600000
1543,"Bellevue, Washington, USA",34400000
1544,"Porto Alegre, RS, Brazil",38900000
1545,"Mumbai, Maharashtra, India",282000000
1546,"Honolulu, Hawaii, USA - Volume 1",64700000
1547,"Poznan, Poland - SAW",1200000
1548,"Sanya, China",21200000
1549,"London, UK - Companion Material",52100000
1550,"Glasgow, UK - Workshops",8620000
1551,"Guildford, Surrey, UK",43600000
1552,"Innsbruck , Austria",47100000
1553,"Boston, MA, USA - DETER",11600000
1554,"Boston, MA, USA - EVT",475000
1555,"Boston, MA, USA - HotSec",528000
1556,"Kingston, Canada",196000000
1557,"Morelia, Mexico",48400000
1558,"London, United Kingdom",2290000000
1559,"Lugano, Switzerland - ICDL",13900
1560,"Xian, Shan Xi, China",16200000
1561,"Qingdao, China",46600000
1562,"Scarborough, Trinidad and Tobago",3900000
1563,"Baton Rouge, Louisiana, USA",34100000
1564,"Darmstadt, Germany - Workshops",22500000
1565,"Waikoloa, Big Island, Hawaii, USA",245000
1566,"Silicon Valley, CA, USA",72900000
1567,"Stresa, Lago Maggiore, Italy",1890000
1568,"Gold Coast, Queensland, Australia - AIDM",90800
1569,"Townsville, Australia",22200000
1570,"Busan, Korea - New Forms of Reasoning for the Semantic Web",10500000
1571,"Barcelona, Spain - Selected Papers",43700000
1572,"Vienna, Austria (in conjuction with VLDB 2007)",111000
1573,Siegen,28100000
1574,"Jacksonville, FL, USA",121000000
1575,"Barcelona, Spain - Volume Special Sessions",70200000
1576,"Barcelona, Spain - Workshop on Robot Vision",33400000
1577,"Kuching, Malaysia",89600000
1578,"Milwaukee, WI, USA",156000000
1579,"Norrköping, Sweden",13600000
1580,"Amsterdam, The Netherlands - PAN",38400000
1581,"San Diego, California, USA - Special Sessions",88600000
1582,"San Diego, California, USA - Sketches",120000000
1583,"San Diego, California, USA - Posters",146000000
1584,"San Diego, California, USA - Panels",138000000
1585,"Barcelona, Spain - Volume 2",129000000
1586,"Lanzhou, China",8440000
1587,"Mangaratiba, Brazil",563000
1588,"Barcelona, Spain - Volume 1",123000000
1589,"San Diego, California, USA - Computer Animation Festival",22500000
1590,"San Diego, California, USA - Emerging Technologies",78400000
1591,"San Diego, California, USA - Educators Program",263000000
1592,"Namur, Belgique",33500000
1593,"Covington, Kentucky, USA",11400000
1594,"Honolulu, Hawaii / Vancouver, Canada",30100000
1595,"Honolulu, HI, USA / Durham, UK",3160000
1596,"Banff, Canada - I3",500000
1597,"San Diego, California, USA - Courses",955000000
1598,"San Diego, California, USA - Award Recipients",4100000
1599,"San Diego, California, USA - Art Gallery",False
1600,"Coeur d'Alene, Idaho, USA",12500000
1601,"Coeur d'Alene, Idaho, USA - VLL",14600000
1602,"Atlanta, GA, USA - Selected Papers",61600000
1603,"San Diego, California, USA - EDT",17900000
1604,"Honululu, Hawaii, USA",87000000
1605,"Vancouver, BC, Canada - CAMA",993000
1606,"Lima, Perú",479000000
1607,"Whistler, British Columbia, Canada - SAAKM",9
1608,"Rutgers University, New Brunswick, NJ, USA",3800000
1609,"Osnabrück, Germany",27200000
1610,"Orlando, Florida, USA - Companion",27200000
1611,"Yantai, Shandong, China",3000000
1612,"Berlin, Germany - Workshops",30100000
1613," Seattle, Washington, USA - Volume 2",68200000
1614," Seattle, Washington, USA - Volume 1",73800000
1615,"Boulder, Colorado, USA - Shared Task",8240000
1616,"London, UK - MCBR-CDS",75600
1617,"Colmar, France",48400000
1618,"Displaying, Processing, Hardcopy, and Applications 2009",2850000
1619,"Urbana, IL, USA - Companion",3590000
1620,"Zeist, The Netherlands",5560000
1621,"Niagara Falls, NY, USA",34700000
1622,"Moncton, Canada",23500000
1623,"Beijing, China - EIMM",3910
1624,"Guilin, Guangxi, China",2200000
1625,"Cork, Ireland / 2009",28600000
1626,Münster,88700000
1627,"Poznan, Poland - Workshops",1520000
1628,"Fortaleza, Ceará, Brasil",107000000
1629,"Boulder, Colorado - Shared Task",11100000
1630,"Stresa, Italy",2550000
1631,"Galveston, Texas, USA",41100000
1632,"Vilamoura, Portugal",5060000
1633,"Bangkok, Thailand - Workshops",6340000
1634,"Budapest, Hungary / Komárno, Slovakia",371000
1635,"Amsterdam, The Netherlands - CIAO! / EOMAS",6670000
1636,"Nagoya, Japan - Workshops",4090000
1637,"Amsterdam, The Netherlands - BPMDS / EMMSAD",22400
1638,"Chania, Crete",16000000
1639,"Shenyang, China - Volume 3",6860000
1640,"Shenyang, China - Volume 2",6920000
1641,"Geneva, Switzerland - Workshops",7780000
1642,"Seattle, Washington, USA - Workshop on Security and Privacy in GIS and LBS",308000
1643,"Lanzhou, Gansu, China",2480000
1644,"Shenyang, China - Volume 1",4740000
1645,"Kochi, India",64200000
1646,"Vicenza, Italy",45400000
1647,"Strasbourg, France - Best of Volume",83700000
1648,"Montreal, Québec, Canada - Companion Material",33900000
1649,"Hammamet, Tunesia",4540000
1650,"Abu Dhabi, United Arab Emirates",108000000
1651,"Redwood City, San Francisco Bay, CA, USA",6880000
1652,"Singapore, Singapore",1300000000
1653,"Long Beach, California, USA - Workshops",281000000
1654,"Dortmund, Germany - CCIS Volume 1",26000
1655,"Dortmund, Germany - CCIS Volume 2",26500
1656," Puebla, Mexico",133000000
1657," Dundee, UK",65200000
1658,"Dortmund, Germany - LNCS Volume",57000
1659,"Paphos, Cyprus (Part of ETAPS 2010)",41800
1660,"Hangzhou, Zhejiang, China",33100000
1661,"Heraklion, Greece",12300000
1662,"Tangier, Morocco",10400000
1663,"Shanghai, China - Posters & Demos",37700000
1664,"Jiuzhaigou, China",777000
1665,"Shanghai, China - Ontology Matching",12700000
1666,"Lake Tahoe, Nevada, USA",16600000
1667,"Jiuzhaigou, China - Workshops",156000
1668,"Redmond, WA, USA",65100000
1669,"Vitória, Brazil",93000000
1670,"Hangzhou, China - Poster Papers",1830000
1671,"Beijing, China - Prostate Cancer Imaging",676000
1672,"Toronto, Ontario, Canada / MUSE 2010",3420000
1673,"Redmond, Washington, USA",57000000
1674,"Sydney, NSW, Australia - Workshops",51900000
1675,"Atlanta, GA, , USA",582000000
1676,"Rimini, Italy",49600000
1677,"Little Rock, AR, USA",273000000
1678,"Hammamet, Tunisie - Best of Volume",583000
1679,"Genova, Italy - Workshops",17700000
1680," Guimarães, Portugal",38900000
1681,"Ottawa, ON, Canada",222000000
1682,"Liverpool, UK / Changsha, China",726000
1683,"Ischia Island, Naples, Italy",1760000
1684,"Cuenca, Ecuador",59400000
1685,"Paderborn, Germany - Workshops",16700000
1686,"San Jose, CA, USA - Workshop on Security and Privacy in GIS and LBS",325000
1687,"Los Angeles, USA",1610000000
1688," Orlando, Florida, USA /Mashups@ECOWS 2010",169000
1689,"Wuxi, China",18600000
1690,"Uppsala, Sweden - Shared Task",678000
1691,"Novi Sad, Serbia - Local Proceedings",1090000
1692,"Heraklion, Crete, Greece - Volume 1",2870000
1693,"Copenhagen, Denmark - Adjunct Papers",441000
1694,"Vancouver, Canada - Volume 1",70900000
1695,Wien,241000000
1696,"Phoenix, AZ, USA - Workshops",34400000
1697,"Las Palmas de Gran Canaria, Canary Islands, Spain",8510000
1698," St. Louis, Missouri, USA",523000000
1699,"Leicester, UK",209000000
1700,"Lake Arrowhead, California, USA",2410000
1701," Buenos Aires, Argentina",575000000
1702," Freiburg, Germany",113000000
1703," Montréal, Quebec, Canada",465000000
